geoid,year,name,state,county,total_plumbing,lacking_plumbing,total_pop,total_nhl,total_hl,total_edu,below_hs_equivalent,hs_equivalent,some_college,bachelor_above
1001,2019-2023,"Autauga County, Alabama",Alabama,Autauga County,22523,57,59285,57097,2188,40767,3963,13321,11953,11530
1003,2019-2023,"Baldwin County, Alabama",Alabama,Baldwin County,94642,354,239945,226552,13393,171988,14221,47369,53990,56408
1005,2019-2023,"Barbour County, Alabama",Alabama,Barbour County,9080,12,24757,23267,1490,17628,3911,6629,5067,2021
1007,2019-2023,"Bibb County, Alabama",Alabama,Bibb County,7571,8,22152,21408,744,15931,3132,6552,4420,1827
1009,2019-2023,"Blount County, Alabama",Alabama,Blount County,21977,59,59292,53330,5962,40991,7093,14600,12912,6386
1011,2019-2023,"Bullock County, Alabama",Alabama,Bullock County,3453,10,10157,9580,577,7378,1915,2994,1805,664
1013,2019-2023,"Butler County, Alabama",Alabama,Butler County,7262,0,18807,18507,300,13164,1633,6182,3537,1812
1015,2019-2023,"Calhoun County, Alabama",Alabama,Calhoun County,45125,21,116141,110991,5150,78627,10940,27117,24416,16154
1017,2019-2023,"Chambers County, Alabama",Alabama,Chambers County,13419,32,34450,33180,1270,24484,4010,9415,7488,3571
1019,2019-2023,"Cherokee County, Alabama",Alabama,Cherokee County,10477,26,25224,24787,437,18777,3029,7015,5739,2994
1021,2019-2023,"Chilton County, Alabama",Alabama,Chilton County,17554,22,45500,41011,4489,30747,4862,12680,8517,4688
1023,2019-2023,"Choctaw County, Alabama",Alabama,Choctaw County,5174,11,12525,12389,136,8998,1420,3642,2684,1252
1025,2019-2023,"Clarke County, Alabama",Alabama,Clarke County,8452,18,22802,22541,261,15966,2352,6765,4386,2463
1027,2019-2023,"Clay County, Alabama",Alabama,Clay County,5765,7,14188,13737,451,10259,1769,3797,3130,1563
1029,2019-2023,"Cleburne County, Alabama",Alabama,Cleburne County,5849,36,15254,14948,306,10861,1586,4230,3067,1978
1031,2019-2023,"Coffee County, Alabama",Alabama,Coffee County,20860,68,54231,49135,5096,36904,5158,10732,13069,7945
1033,2019-2023,"Colbert County, Alabama",Alabama,Colbert County,24217,63,57648,55758,1890,40978,5102,14160,13409,8307
1035,2019-2023,"Conecuh County, Alabama",Alabama,Conecuh County,4528,0,11411,11310,101,8127,1017,3908,2135,1067
1037,2019-2023,"Coosa County, Alabama",Alabama,Coosa County,4201,52,10323,10078,245,7935,1367,3135,2253,1180
1039,2019-2023,"Covington County, Alabama",Alabama,Covington County,14495,36,37647,36920,727,26459,3656,9745,8513,4545
1041,2019-2023,"Crenshaw County, Alabama",Alabama,Crenshaw County,5075,21,13144,12908,236,9104,1586,3760,2228,1530
1043,2019-2023,"Cullman County, Alabama",Alabama,Cullman County,34543,75,89463,85117,4346,62400,9363,19333,21794,11910
1045,2019-2023,"Dale County, Alabama",Alabama,Dale County,19769,50,49516,46085,3431,33832,4830,10549,11914,6539
1047,2019-2023,"Dallas County, Alabama",Alabama,Dallas County,15416,54,37536,37196,340,25507,3301,9958,7910,4338
1049,2019-2023,"DeKalb County, Alabama",Alabama,DeKalb County,25946,50,71946,59959,11987,48464,10204,16307,15226,6727
1051,2019-2023,"Elmore County, Alabama",Alabama,Elmore County,32529,47,88669,85752,2917,61916,6446,21341,19025,15104
1053,2019-2023,"Escambia County, Alabama",Alabama,Escambia County,12781,4,36695,35860,835,25499,4454,11014,6846,3185
1055,2019-2023,"Etowah County, Alabama",Alabama,Etowah County,39160,41,103208,98074,5134,72570,10321,24651,24915,12683
1057,2019-2023,"Fayette County, Alabama",Alabama,Fayette County,6051,7,16173,15989,184,11220,1657,4252,3561,1750
1059,2019-2023,"Franklin County, Alabama",Alabama,Franklin County,11593,1,31978,25637,6341,21156,4340,8336,5330,3150
1061,2019-2023,"Geneva County, Alabama",Alabama,Geneva County,10550,23,26726,25373,1353,18969,3185,7086,6172,2526
1063,2019-2023,"Greene County, Alabama",Alabama,Greene County,3037,0,7589,7532,57,5274,949,2407,1260,658
1065,2019-2023,"Hale County, Alabama",Alabama,Hale County,5541,62,14749,14620,129,9968,1805,3812,2679,1672
1067,2019-2023,"Henry County, Alabama",Alabama,Henry County,6684,21,17450,17076,374,12722,2260,4119,3585,2758
1069,2019-2023,"Houston County, Alabama",Alabama,Houston County,42581,38,107628,102948,4680,74490,9386,23903,24241,16960
1071,2019-2023,"Jackson County, Alabama",Alabama,Jackson County,21186,122,52839,51062,1777,37890,6799,14353,10846,5892
1073,2019-2023,"Jefferson County, Alabama",Alabama,Jefferson County,268911,925,669744,634641,35103,454593,40950,117710,132567,163366
1075,2019-2023,"Lamar County, Alabama",Alabama,Lamar County,4987,32,13809,13554,255,9826,1582,4031,3074,1139
1077,2019-2023,"Lauderdale County, Alabama",Alabama,Lauderdale County,38777,145,95037,91874,3163,64931,6945,21819,18581,17586
1079,2019-2023,"Lawrence County, Alabama",Alabama,Lawrence County,13145,8,33182,32229,953,23380,3610,9616,6502,3652
1081,2019-2023,"Lee County, Alabama",Alabama,Lee County,67944,49,177663,168328,9335,109875,9421,23949,31090,45415
1083,2019-2023,"Limestone County, Alabama",Alabama,Limestone County,40021,77,107577,99792,7785,75594,9402,19932,23286,22974
1085,2019-2023,"Lowndes County, Alabama",Alabama,Lowndes County,4161,9,10008,9981,27,6999,1174,3079,1775,971
1087,2019-2023,"Macon County, Alabama",Alabama,Macon County,7151,30,18951,18579,372,11661,1842,3699,3702,2418
1089,2019-2023,"Madison County, Alabama",Alabama,Madison County,162469,156,397135,371187,25948,272559,20194,52261,75571,124533
1091,2019-2023,"Marengo County, Alabama",Alabama,Marengo County,7615,8,19027,18575,452,12932,1860,4453,3979,2640
1093,2019-2023,"Marion County, Alabama",Alabama,Marion County,10874,118,29190,28311,879,20753,3713,7491,6886,2663
1095,2019-2023,"Marshall County, Alabama",Alabama,Marshall County,35963,95,98712,82352,16360,65093,10141,21272,19798,13882
1097,2019-2023,"Mobile County, Alabama",Alabama,Mobile County,160507,305,413162,399384,13778,280248,30804,94779,84182,70483
1099,2019-2023,"Monroe County, Alabama",Alabama,Monroe County,7396,39,19580,19551,29,13506,2213,6154,3605,1534
1101,2019-2023,"Montgomery County, Alabama",Alabama,Montgomery County,90785,155,227197,216401,10796,150598,16801,39432,42749,51616
1103,2019-2023,"Morgan County, Alabama",Alabama,Morgan County,48752,61,123742,111116,12626,85093,12692,26768,25857,19776
1105,2019-2023,"Perry County, Alabama",Alabama,Perry County,3195,0,8231,8213,18,5211,929,2220,1184,878
1107,2019-2023,"Pickens County, Alabama",Alabama,Pickens County,6946,28,18843,17755,1088,13612,2194,5854,3693,1871
1109,2019-2023,"Pike County, Alabama",Alabama,Pike County,12605,21,32953,32064,889,19352,2403,6573,5090,5286
1111,2019-2023,"Randolph County, Alabama",Alabama,Randolph County,9127,42,22310,21675,635,15690,2573,5583,4315,3219
1113,2019-2023,"Russell County, Alabama",Alabama,Russell County,23784,46,58858,55476,3382,40019,5687,12427,15161,6744
1115,2019-2023,"St. Clair County, Alabama",Alabama,St. Clair County,34477,35,92903,90233,2670,65356,8114,22658,21550,13034
1117,2019-2023,"Shelby County, Alabama",Alabama,Shelby County,85414,216,226955,210246,16709,155808,9336,31864,42627,71981
1119,2019-2023,"Sumter County, Alabama",Alabama,Sumter County,4765,59,12020,11920,100,7121,858,2430,2478,1355
1121,2019-2023,"Talladega County, Alabama",Alabama,Talladega County,32889,154,81170,79291,1879,57894,8967,20730,18457,9740
1123,2019-2023,"Tallapoosa County, Alabama",Alabama,Tallapoosa County,16548,109,41070,39933,1137,29757,4818,9741,9626,5572
1125,2019-2023,"Tuscaloosa County, Alabama",Alabama,Tuscaloosa County,87289,100,234036,221443,12593,143277,13080,41336,43904,44957
1127,2019-2023,"Walker County, Alabama",Alabama,Walker County,24843,207,64886,62633,2253,44887,7685,15406,14613,7183
1129,2019-2023,"Washington County, Alabama",Alabama,Washington County,5678,38,15270,15015,255,10738,1215,4393,3390,1740
1131,2019-2023,"Wilcox County, Alabama",Alabama,Wilcox County,3693,45,10347,10336,11,6931,1534,2708,1834,855
1133,2019-2023,"Winston County, Alabama",Alabama,Winston County,9328,20,23637,22811,826,17058,3622,6837,4318,2281
2013,2019-2023,"Aleutians East Borough, Alaska",Alaska,Aleutians East Borough,998,11,3423,3063,360,2607,420,1030,684,473
2016,2019-2023,"Aleutians West Census Area, Alaska",Alaska,Aleutians West Census Area,977,3,5178,4463,715,3921,373,1520,1341,687
2020,2019-2023,"Anchorage Municipality, Alaska",Alaska,Anchorage Municipality,107868,347,289069,262116,26953,192495,11534,47142,61289,72530
2050,2019-2023,"Bethel Census Area, Alaska",Alaska,Bethel Census Area,4661,842,18487,18230,257,10181,1840,4876,2407,1058
2060,2019-2023,"Bristol Bay Borough, Alaska",Alaska,Bristol Bay Borough,283,7,878,805,73,696,35,212,274,175
2063,2019-2023,"Chugach Census Area, Alaska",Alaska,Chugach Census Area,2679,57,6964,6605,359,4861,210,1244,1969,1438
2066,2019-2023,"Copper River Census Area, Alaska",Alaska,Copper River Census Area,1146,48,2626,2524,102,1841,166,488,665,522
2068,2019-2023,"Denali Borough, Alaska",Alaska,Denali Borough,533,45,2029,1898,131,1663,110,771,389,393
2070,2019-2023,"Dillingham Census Area, Alaska",Alaska,Dillingham Census Area,1383,129,4780,4616,164,2863,362,1215,732,554
2090,2019-2023,"Fairbanks North Star Borough, Alaska",Alaska,Fairbanks North Star Borough,36176,810,95555,87730,7825,61207,3133,15646,21796,20632
2100,2019-2023,"Haines Borough, Alaska",Alaska,Haines Borough,899,45,2077,1994,83,1581,26,471,500,584
2105,2019-2023,"Hoonah-Angoon Census Area, Alaska",Alaska,Hoonah-Angoon Census Area,922,70,2313,2063,250,1760,114,630,606,410
2110,2019-2023,"Juneau City and Borough, Alaska",Alaska,Juneau City and Borough,13138,47,31969,29735,2234,22898,1225,4883,7526,9264
2122,2019-2023,"Kenai Peninsula Borough, Alaska",Alaska,Kenai Peninsula Borough,23902,554,59843,57296,2547,42452,2416,13002,14557,12477
2130,2019-2023,"Ketchikan Gateway Borough, Alaska",Alaska,Ketchikan Gateway Borough,5621,23,13870,13140,730,9985,507,2929,3856,2693
2150,2019-2023,"Kodiak Island Borough, Alaska",Alaska,Kodiak Island Borough,4608,2,12878,11827,1051,8456,631,2448,2958,2419
2158,2019-2023,"Kusilvak Census Area, Alaska",Alaska,Kusilvak Census Area,1891,316,8277,8141,136,3994,757,2090,917,230
2164,2019-2023,"Lake and Peninsula Borough, Alaska",Alaska,Lake and Peninsula Borough,322,15,1007,996,11,652,58,309,165,120
2170,2019-2023,"Matanuska-Susitna Borough, Alaska",Alaska,Matanuska-Susitna Borough,39682,876,110677,104929,5748,73088,4171,24748,26423,17746
